crop_code;unit_cd;mean_cf_nat;mean_cf1;mean_cf2;mean_cf3;mean_cf4;mean_cf6;mean_cf7;mean_cf12;mean_cf99;note
16;12;0.266999989748001;0.266999989748001;0.266999989748001;0.266999989748001;0.245000004768372;0.266999989748001;0.28999999165535;0.266999989748001;0.266999989748001;
16;104;1.08599996566772;1.08599996566772;1.08599996566772;1.06500005722046;1.04499995708466;1.08599996566772;1.07000005245209;1.08599996566772;1.125;
16;109;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;0.189999997615814;
16;115;69.5559997558594;63.5;66.25;72.625;62;69.5559997558594;57.5;83.25;69.5559997558594;
16;117;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;0.377999991178513;Used jog ratio for teff to estimate container CF
16;119;69.5559997558594;63.5;66.25;72.625;62;69.5559997558594;57.5;83.25;69.5559997558594;
16;121;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;1.45299994945526;Used jog ratio for teff to estimate container CF
16;122;0.0640000030398369;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;0.0799999982118607;
16;123;0.781000018119812;0.769999980926514;0.781000018119812;0.787000000476837;0.785000026226044;0.781000018119812;0.769999980926514;0.781000018119812;0.781000018119812;
17;1;1;1;1;1;1;1;1;1;1;
17;2;100;100;100;100;100;100;100;100;100;
18;1;1;1;1;1;1;1;1;1;1;
18;2;100;100;100;100;100;100;100;100;100;
19BIS;1;1;1;1;1;1;1;1;1;1;
19BIS;2;100;100;100;100;100;100;100;100;100;
19BIS;4;30;30;30;30;30;30;30;30;30;
19BIS;7;11.585000038147;11.3929996490479;9.44999980926514;12.3020000457764;10;11.585000038147;11.585000038147;11.585000038147;11.585000038147;
19BIS;9;36.7550010681152;58;62.5;67;62.5;62.5;62.5;62.5;62.5;
19BIS;11;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;0.714999973773956;
